subEventName,playerId,matchId,teamId,eventSec,eventMin
Shot,25413,2499719,1609,94.59578800000004,1.6
Shot,26150,2499719,1631,179.854785,3.0
Shot,14763,2499719,1631,254.745027,4.2
Shot,7868,2499719,1609,425.824035,7.1
Shot,7868,2499719,1609,815.462015,13.6
Shot,7945,2499719,1609,1286.06165,21.4
Shot,49876,2499719,1609,1301.831901,21.7
Shot,7945,2499719,1609,1546.222971,25.8
Shot,14869,2499719,1609,1583.298344,26.4
Shot,120339,2499719,1609,1605.799842,26.8
Shot,12829,2499719,1631,1710.855093,28.5
Shot,14763,2499719,1631,1969.136309,32.8
Shot,49876,2499719,1609,2255.232197,37.6
Shot,25413,2499719,1609,2813.844402,46.9
Shot,7945,2499719,1609,2815.900791,46.9
Shot,3319,2499719,1609,2931.5146889999996,48.9
Shot,26150,2499719,1631,3040.6645420000004,50.7
Shot,26150,2499719,1631,3294.4255840000005,54.9
Shot,12829,2499719,1631,3334.312236,55.6
Shot,7868,2499719,1609,3524.6188490000004,58.7
Shot,167145,2499719,1609,3693.689130999999,61.6
Shot,7870,2499719,1609,4046.1635810000007,67.4
Shot,49876,2499719,1609,4154.786681,69.2
Shot,3319,2499719,1609,4228.055229,70.5
Shot,7868,2499719,1609,4400.394092999999,73.3
Shot,7868,2499719,1609,4419.834928,73.7
Shot,3319,2499719,1609,4434.123470999999,73.9
Shot,7868,2499719,1609,4697.314424,78.3
Shot,49876,2499719,1609,4826.7580020000005,80.4
Shot,7870,2499719,1609,4847.662769999999,80.8
Shot,7870,2499719,1609,4931.119655999999,82.2
Shot,25413,2499719,1609,5054.807116,84.2
Shot,26010,2499719,1609,5074.620655000001,84.6
Shot,7870,2499719,1609,5697.086392000001,95.0
Shot,340386,2499720,1625,189.560864,3.2
Shot,70083,2499720,1625,534.52601,8.9
Shot,105339,2499720,1625,794.071176,13.2
Shot,340386,2499720,1625,1995.689167,33.3
Shot,340386,2499720,1625,1998.335772,33.3
Shot,9097,2499720,1651,2675.106858,44.6
Shot,340386,2499720,1625,2697.809486,45.0
Shot,70086,2499720,1625,2823.142701,47.1
Shot,105339,2499720,1625,3000.2927880000007,50.0
Shot,8325,2499720,1625,3125.7426780000005,52.1
Shot,466,2499720,1651,3317.873662,55.3
Shot,8242,2499720,1651,3321.316524,55.4
Shot,9097,2499720,1651,3358.4898190000004,56.0
Shot,9097,2499720,1651,3359.4739019999997,56.0
Shot,466,2499720,1651,3361.855782999999,56.0
Shot,38021,2499720,1625,3471.517541000001,57.9
Shot,38021,2499720,1625,3965.535699,66.1
Shot,8325,2499720,1625,4155.304065,69.3
Shot,8944,2499721,1646,178.75714799999997,3.0
Shot,14748,2499721,1610,641.300258,10.7
Shot,9127,2499721,1646,1394.0172,23.2
Shot,8032,2499721,1610,1977.152747,33.0
Shot,8433,2499721,1646,2318.473517,38.6
Shot,7892,2499721,1610,2425.196588,40.4
Shot,9127,2499721,1646,2531.371773,42.2
Shot,31528,2499721,1610,2646.142552,44.1
Shot,31528,2499721,1610,2673.42583,44.6
Shot,9623,2499721,1646,2846.076986,47.4
Shot,14748,2499721,1610,2824.51188,47.1
Shot,8032,2499721,1610,2925.4368959999993,48.8
Shot,38093,2499721,1610,3177.646605,53.0
Shot,9127,2499721,1646,3368.943607000001,56.1
Shot,3324,2499721,1610,3540.832544000001,59.0
Shot,8032,2499721,1610,3672.455139,61.2
Shot,7892,2499721,1610,3805.005186,63.4
Shot,9623,2499721,1646,3937.433674,65.6
Shot,3324,2499721,1610,4084.099486999999,68.1
Shot,8944,2499721,1646,4527.033448,75.5
Shot,31528,2499721,1610,4767.63775,79.5
Shot,3324,2499721,1610,5056.566928,84.3
Shot,7892,2499721,1610,5240.902004,87.3
Shot,9623,2499721,1646,5366.131031000001,89.4
Shot,9419,2499722,1673,100.041696,1.7
Shot,279709,2499722,1673,1018.188989,17.0
Shot,303357,2499722,1673,1186.73449,19.8
Shot,214654,2499722,1673,1506.694938,25.1
Shot,235555,2499722,1628,1629.604227,27.2
Shot,55979,2499722,1673,1913.773886,31.9
Shot,8422,2499722,1628,2194.431111,36.6
Shot,8422,2499722,1628,2490.510159,41.5
Shot,38031,2499722,1628,2640.577538,44.0
Shot,8142,2499722,1628,2815.976416,46.9
Shot,14796,2499722,1673,2827.71349,47.1
Shot,214654,2499722,1673,2831.064913,47.2
Shot,38031,2499722,1628,3258.0531420000007,54.3
Shot,8422,2499722,1628,3451.317744,57.5
Shot,454,2499722,1628,4127.056517000001,68.8
Shot,8186,2499722,1628,4620.091866999999,77.0
Shot,214654,2499722,1673,4663.953519999999,77.7
Shot,8554,2499722,1628,4915.934484000001,81.9
Shot,38031,2499722,1628,4988.661604999999,83.1
Shot,5911,2499723,1623,725.762958,12.1
Shot,77548,2499723,1639,871.508779,14.5
Shot,77548,2499723,1639,874.3453139999999,14.6
Shot,25706,2499723,1623,1190.187435,19.8
Shot,25706,2499723,1623,1430.877737,23.8
Shot,15054,2499723,1639,2046.092182,34.1
Shot,20450,2499723,1639,2091.065818,34.9
Shot,7944,2499723,1623,2714.265932,45.2
Shot,9532,2499723,1639,2723.1331410000003,45.4
Shot,293687,2499723,1623,3207.559438,53.5
Shot,7932,2499723,1639,3464.4761020000005,57.7
Shot,293687,2499723,1623,3673.996866000002,61.2
Shot,293687,2499723,1623,4101.088454000001,68.4
Shot,5911,2499723,1623,4385.252638,73.1
Shot,15054,2499723,1639,4465.445088,74.4
Shot,8747,2499723,1639,5103.763544000001,85.1
Shot,15198,2499723,1639,5144.722040000001,85.7
