subEventName,playerId,matchId,teamId,eventSec,eventMin
Foul,8488,2499719,1631,54.36619999999999,0.9
Foul,8488,2499719,1631,202.040527,3.4
Foul,370224,2499719,1609,708.974878,11.8
Foul,14763,2499719,1631,918.437514,15.3
Foul,167145,2499719,1609,1051.873415,17.5
Foul,8653,2499719,1631,1120.184396,18.7
Foul,25413,2499719,1609,1451.394531,24.2
Foul,14763,2499719,1631,1485.285283,24.8
Foul,192748,2499719,1631,2017.14293,33.6
Foul,192748,2499719,1631,2164.305573,36.1
Foul,8488,2499719,1631,2234.922563,37.2
Foul,14763,2499719,1631,2704.658724,45.1
Foul,7868,2499719,1609,2966.752719,49.4
Foul,7945,2499719,1609,3223.102585,53.7
Foul,370224,2499719,1609,3473.927258,57.9
Foul,192748,2499719,1631,4028.5507559999996,67.1
Foul,14869,2499719,1609,4521.014405,75.4
Foul,217078,2499719,1631,5222.941031,87.0
Foul,49876,2499719,1609,5320.13335,88.7
Foul,25413,2499719,1609,5376.482638,89.6
Foul,8488,2499719,1631,5629.793781,93.8
Foul,8086,2499720,1651,949.754954,15.8
Foul,9380,2499720,1625,1127.857548,18.8
Hand foul,340386,2499720,1625,1586.284294,26.4
Foul,8086,2499720,1651,1826.179627,30.4
Foul,247248,2499720,1651,2279.895054,38.0
Foul,340386,2499720,1625,2417.393393,40.3
Foul,70086,2499720,1625,2593.085986,43.2
Foul,8317,2499720,1625,2630.700529,43.8
Foul,8416,2499720,1651,3852.6307930000003,64.2
Foul,62091,2499720,1651,4390.680399,73.2
Foul,8325,2499720,1625,4678.652988,78.0
Foul,245364,2499720,1625,4700.822184000001,78.3
Foul,11066,2499720,1625,4887.620266,81.5
Foul,245364,2499720,1625,5333.636171,88.9
Foul,8086,2499720,1651,5527.960527,92.1
Foul,8032,2499721,1610,122.32936,2.0
Foul,227756,2499721,1610,555.056363,9.3
Violent Foul,7887,2499721,1610,782.367317,13.0
Foul,8433,2499721,1646,912.634195,15.2
Foul,3350,2499721,1610,953.453343,15.9
Foul,9433,2499721,1646,1113.513413,18.6
Foul,9127,2499721,1646,1721.798591,28.7
Foul,25553,2499721,1610,2273.116594,37.9
Foul,14748,2499721,1610,2485.332398,41.4
Foul,14748,2499721,1610,2680.871251,44.7
Foul,7892,2499721,1610,2772.999953,46.2
Foul,70092,2499721,1646,2792.922566,46.5
Foul,9127,2499721,1646,3200.054469,53.3
Foul,31528,2499721,1610,3280.714025,54.7
Foul,9623,2499721,1646,3595.360989,59.9
Foul,8944,2499721,1646,3741.7405019999997,62.4
Foul,7892,2499721,1610,3876.9336249999997,64.6
Foul,8125,2499721,1646,3976.06563,66.3
Hand foul,105333,2499721,1610,4136.473532,68.9
Foul,8032,2499721,1610,4203.985976,70.1
Foul,9127,2499721,1646,4239.472131,70.7
Foul,25553,2499721,1610,4397.72413,73.3
Foul,11294,2499721,1646,4555.724599,75.9
Violent Foul,3350,2499721,1610,4833.97011,80.6
Foul,14748,2499721,1610,5295.740667,88.3
Foul,9127,2499721,1646,5450.228528,90.8
Foul,3324,2499721,1610,5549.642186,92.5
Foul,15215,2499722,1673,20.168847000000028,0.3
Foul,11078,2499722,1673,234.41495200000003,3.9
Foul,303357,2499722,1673,392.965103,6.5
Foul,9419,2499722,1673,459.907261,7.7
Foul,55979,2499722,1673,556.247206,9.3
Foul,15215,2499722,1673,676.704811,11.3
Foul,454,2499722,1628,833.1204909999999,13.9
Foul,15215,2499722,1673,925.047933,15.4
Foul,454,2499722,1628,1250.981358,20.8
Foul,8422,2499722,1628,1413.347796,23.6
Foul,55979,2499722,1673,1563.519332,26.1
Foul,11078,2499722,1673,1669.837505,27.8
Foul,11078,2499722,1673,2318.518227,38.6
Foul,38031,2499722,1628,2359.029887,39.3
Foul,279709,2499722,1673,3354.690134,55.9
Foul,454,2499722,1628,3481.796456,58.0
Foul,279709,2499722,1673,3584.860125,59.7
Foul,16122,2499722,1673,3914.624568,65.2
Foul,9419,2499722,1673,3969.4441639999995,66.2
Foul,454,2499722,1628,4216.939999,70.3
Foul,214654,2499722,1673,4358.501178,72.6
Foul,16122,2499722,1673,4869.260155,81.2
Foul,14796,2499722,1673,5176.038437,86.3
Foul,8142,2499722,1628,5249.046304,87.5
Foul,15823,2499722,1673,5426.22436,90.4
Foul,173,2499722,1673,5566.029716,92.8
Foul,7944,2499723,1623,209.472692,3.5
Foul,77546,2499723,1623,797.654391,13.3
Foul,293687,2499723,1623,840.034574,14.0
Foul,49872,2499723,1639,928.052026,15.5
Foul,7944,2499723,1623,1037.890469,17.3
Foul,7932,2499723,1639,1549.97065,25.8
Foul,77548,2499723,1639,1713.275102,28.6
Foul,77548,2499723,1639,1905.797981,31.8
Foul,77546,2499723,1623,2428.446805,40.5
Foul,25706,2499723,1623,2492.383472,41.5
Foul,5911,2499723,1623,2797.857215,46.6
Foul,20450,2499723,1639,2980.668857,49.7
Foul,56,2499723,1623,3109.624966,51.8
Foul,107,2499723,1639,3234.142143,53.9
Foul,8143,2499723,1623,3408.315804,56.8
Foul,56,2499723,1623,3490.912689,58.2
Foul,353236,2499723,1623,3835.40819,63.9
Foul,8143,2499723,1623,3882.0110489999997,64.7
Foul,15198,2499723,1639,4732.816304,78.9
Foul,340,2499723,1623,5073.492847,84.6
Foul,77548,2499723,1639,5225.69832,87.1
Foul,107,2499723,1639,5505.610116,91.8
Foul,7932,2499723,1639,5594.702719,93.2
Foul,38,2499724,1611,44.40193299999999,0.7
Foul,7918,2499724,1611,108.013309,1.8
Foul,7938,2499724,1611,212.51569,3.5
Foul,8561,2499724,1633,1069.449667,17.8
Foul,7941,2499724,1633,1153.678882,19.2
Foul,7936,2499724,1611,1762.204318,29.4
Foul,70122,2499724,1611,1843.635093,30.7
Foul,7936,2499724,1611,1908.894888,31.8
Foul,105338,2499724,1611,2095.549391,34.9
Foul,70122,2499724,1611,2162.986608,36.0
Foul,26499,2499724,1633,2267.369617,37.8
Foul,7938,2499724,1611,2512.496647,41.9
Foul,256998,2499724,1611,2552.457552,42.5
Foul,7941,2499724,1633,2643.387385,44.1
Foul,397178,2499724,1611,2776.567181,46.3
Foul,7936,2499724,1611,2990.722008,49.8
Foul,8313,2499724,1633,3053.999092,50.9
Foul,7938,2499724,1611,3550.055469,59.2
Late card foul,21100,2499724,1633,3943.129154,65.7
Foul,397178,2499724,1611,3991.5878329999996,66.5
Foul,256998,2499724,1611,4015.6166160000002,66.9
Foul,7936,2499724,1611,4140.503112,69.0
Foul,105338,2499724,1611,4355.684317,72.6
Foul,38,2499724,1611,4568.148209,76.1
Foul,14703,2499724,1633,4711.429347,78.5
Foul,8249,2499724,1611,5288.411263,88.1
Foul,230883,2499725,1613,38.205634,0.6
Foul,11152,2499725,1624,889.462568,14.8
Foul,8004,2499725,1613,1245.919709,20.8
Foul,134294,2499725,1613,1608.445797,26.8
Foul,8717,2499725,1624,1826.480321,30.4
Foul,13484,2499725,1624,2234.381855,37.2
Foul,134294,2499725,1613,2755.301842,45.9
Foul,13484,2499725,1624,2836.01156,47.3
Foul,25804,2499725,1624,2726.984078,45.4
Hand foul,13484,2499725,1624,2851.175052,47.5
Out of game foul,7967,2499725,1613,2872.452767,47.9
Late card foul,9227,2499725,1613,3064.370196,51.1
Foul,3436,2499725,1613,3331.503529,55.5
Foul,25804,2499725,1624,3385.875751,56.4
Foul,12536,2499725,1613,3780.1957030000003,63.0
Foul,136441,2499725,1624,4453.71747,74.2
Foul,136441,2499725,1624,5120.5016080000005,85.3
Foul,25571,2499726,10531,526.007944,8.8
Foul,383,2499726,1619,722.996729,12.0
Foul,21164,2499726,10531,780.167889,13.0
Hand foul,262,2499726,10531,823.188299,13.7
Foul,8116,2499726,1619,899.671043,15.0
Foul,25571,2499726,10531,987.641274,16.5
Foul,8144,2499726,1619,1282.250028,21.4
Foul,77550,2499726,10531,1315.254888,21.9
Foul,7885,2499726,1619,1356.554106,22.6
Foul,25571,2499726,10531,1689.220346,28.2
Foul,61988,2499726,1619,1864.590051,31.1
Foul,20857,2499726,1619,1914.402199,31.9
Foul,7899,2499726,1619,1941.882396,32.4
Foul,61988,2499726,1619,2535.339926,42.3
Foul,77557,2499726,10531,2708.121001,45.1
Foul,77557,2499726,10531,3299.664433,55.0
Foul,70389,2499726,1619,3436.609641,57.3
Foul,77557,2499726,10531,3462.720079,57.7
Foul,20857,2499726,1619,3755.086597,62.6
Foul,25571,2499726,10531,4287.94573,71.5
Foul,703,2499726,1619,5229.281484,87.2
Foul,62344,2499726,10531,5279.6332760000005,88.0
Foul,62344,2499726,10531,5365.042797,89.4
Foul,25571,2499726,10531,5408.866861,90.1
Foul,20505,2499727,1644,52.12870600000002,0.9
Foul,160,2499727,1644,144.379373,2.4
Foul,25747,2499727,1612,1143.341447,19.1
Foul,18550,2499727,1612,1580.566489,26.3
Foul,20505,2499727,1644,1646.243136,27.4
Foul,18550,2499727,1612,2022.420361,33.7
Late card foul,25747,2499727,1612,2186.915604,36.4
Foul,32968,2499727,1644,2313.851991,38.6
Hand foul,32968,2499727,1644,2366.042474,39.4
Foul,18550,2499727,1612,2400.299677,40.0
Foul,32968,2499727,1644,2733.226083,45.6
Foul,28292,2499727,1644,2804.250653,46.7
Foul,32968,2499727,1644,2920.92088,48.7
Foul,32968,2499727,1644,2860.023995,47.7
Foul,20505,2499727,1644,3102.639335,51.7
Foul,8266,2499727,1644,3235.687295,53.9
Foul,346101,2499727,1612,3635.1367330000003,60.6
Foul,32968,2499727,1644,3889.469411,64.8
Foul,120353,2499727,1612,4017.462399,67.0
Foul,8272,2499727,1644,4077.152311,68.0
Foul,4908,2499727,1612,4418.143394,73.6
Time lost foul,8514,2499727,1612,5254.499225,87.6
Foul,257899,2499727,1612,5500.669857,91.7
Foul,86308,2499728,1627,558.859319,9.3
Foul,119951,2499728,1627,741.518724,12.4
Foul,8360,2499728,1627,1220.820168,20.3
Foul,9637,2499728,1659,1752.42805,29.2
Foul,86308,2499728,1627,2018.766967,33.6
Foul,8530,2499728,1627,2935.150701,48.9
Foul,434159,2499728,1627,3281.996986,54.7
Foul,8530,2499728,1627,3893.2108820000003,64.9
Foul,8370,2499728,1627,3963.918791,66.1
Foul,8958,2499728,1627,4022.850544,67.0
Foul,8958,2499728,1627,4072.355366,67.9
Foul,8958,2499728,1627,4199.172616,70.0
Foul,8686,2499728,1627,4818.004967,80.3
Foul,8958,2499728,1627,4882.148527,81.4
Foul,9283,2499728,1659,4978.242782,83.0
Hand foul,8296,2499728,1659,5115.861291,85.3
Foul,3577,2499728,1627,5366.151399,89.4
Foul,8686,2499728,1627,5647.74022,94.1
Foul,377071,2499729,1644,567.802818,9.5
Foul,134351,2499729,1659,1223.380879,20.4
Hand foul,3351,2499729,1644,1271.165444,21.2
Foul,377071,2499729,1644,1467.871505,24.5
Foul,21160,2499729,1644,1597.070626,26.6
Foul,7888,2499729,1644,1981.037496,33.0
Foul,8460,2499729,1659,2183.752935,36.4
Foul,92899,2499729,1644,2509.884795,41.8
Foul,9637,2499729,1659,2537.465291,42.3
Foul,14688,2499729,1644,2667.217681,44.5
Foul,7929,2499729,1644,3622.092971,60.4
Late card foul,9277,2499729,1659,3636.98208,60.6
Foul,7888,2499729,1644,3754.692355,62.6
Foul,92899,2499729,1644,3841.895738,64.0
Foul,9637,2499729,1659,4091.1418460000004,68.2
Foul,92899,2499729,1644,4164.967369,69.4
Foul,7929,2499729,1644,4219.523952,70.3
Foul,28292,2499729,1644,4701.782193,78.4
Foul,134102,2499729,1659,5363.93526,89.4
Foul,25798,2499729,1644,5486.549225000001,91.4
Foul,8460,2499729,1659,5576.769633,92.9
Foul,8530,2499730,1627,1166.085265,19.4
Foul,9433,2499730,1646,1205.030249,20.1
Foul,8643,2499730,1646,1499.775878,25.0
Foul,8958,2499730,1627,1989.095479,33.2
Foul,9623,2499730,1646,2043.963318,34.1
Foul,8285,2499730,1627,2167.01503,36.1
Foul,8433,2499730,1646,2275.540052,37.9
Foul,9433,2499730,1646,2753.820165,45.9
Foul,8530,2499730,1627,2849.525443,47.5
Foul,8433,2499730,1646,3018.619202,50.3
Foul,8370,2499730,1627,3181.70052,53.0
Foul,8360,2499730,1627,3823.8053550000004,63.7
Foul,8980,2499730,1646,3926.6909699999997,65.4
Foul,8686,2499730,1627,3983.52312,66.4
Foul,8125,2499730,1646,4034.3549839999996,67.2
Foul,9433,2499730,1646,4377.973728,73.0
Foul,9414,2499730,1627,4456.697962,74.3
