matchId,shots_array,total_shots,late_game_shots,late_game_density
2499765,"[2.0, 8.2, 9.8, 24.8, 27.7, 29.1, 32.4, 33.7, 36.4, 39.3, 39.9, 44.3, 45.9, 46.6, 50.4, 53.8, 71.8, 76.2, 78.0, 80.5, 83.8, 84.1, 85.9, 89.4]",24,8,0.3333333333333333
2499766,"[7.8, 21.4, 30.7, 33.1, 33.6, 41.2, 41.8, 43.6, 45.4, 46.9, 62.4, 69.4, 75.3, 76.7, 78.6, 79.2, 85.4, 86.7, 92.5, 92.6, 93.1]",21,11,0.5238095238095238
2499767,"[2.3, 3.8, 23.0, 25.8, 28.0, 39.1, 42.7, 48.3, 49.3, 70.6, 84.4, 87.3, 89.6, 92.8]",14,5,0.35714285714285715
2499768,"[0.8, 3.8, 8.2, 14.8, 22.6, 34.1, 46.1, 47.7, 50.1, 53.1, 53.7, 65.0, 66.7, 68.2, 69.8, 76.1, 77.3, 81.9, 82.8, 85.4, 92.9, 93.3, 95.0]",23,12,0.5217391304347826
2499769,"[3.2, 4.9, 9.2, 17.2, 18.1, 22.0, 24.3, 26.3, 34.5, 40.1, 42.6, 43.1, 48.7, 51.9, 54.1, 55.0, 57.8, 59.0, 63.7, 65.8, 71.2, 78.7, 83.7, 86.7, 88.1, 92.6]",26,8,0.3076923076923077
2499770,"[0.5, 12.2, 17.4, 25.6, 36.9, 39.1, 44.5, 49.3, 51.8, 56.3, 60.6, 73.4, 75.9, 92.8]",14,4,0.2857142857142857
2499771,"[4.4, 4.9, 5.9, 6.9, 10.0, 23.5, 28.6, 31.5, 33.0, 40.8, 49.1, 52.6, 54.5, 64.0, 67.9, 74.5, 78.1, 84.1, 86.5, 88.7, 89.7, 91.9]",22,9,0.4090909090909091
2499772,"[2.2, 10.7, 14.8, 16.5, 26.3, 27.3, 28.2, 31.4, 32.9, 34.9, 37.0, 42.3, 42.9, 53.4, 55.1, 56.3, 57.9, 63.7, 73.6, 79.7, 91.4, 92.0]",22,5,0.22727272727272727
2499773,"[2.5, 3.2, 3.5, 6.5, 8.9, 10.8, 16.4, 18.6, 21.1, 26.4, 37.2, 38.5, 46.3, 49.0, 50.1, 57.8, 63.1, 63.5, 68.3, 71.2, 76.3, 82.4, 83.7, 89.5, 91.1, 94.4]",26,10,0.38461538461538464
2499774,"[1.0, 15.9, 19.4, 19.9, 23.3, 32.0, 34.0, 39.7, 55.0, 75.6, 81.3, 83.2, 92.1]",13,4,0.3076923076923077
2499775,"[3.3, 11.6, 13.2, 21.2, 21.9, 25.5, 36.4, 42.5, 46.2, 49.2, 52.4, 54.0, 57.4, 62.6, 68.8, 70.1, 75.1, 81.4, 83.9, 87.4, 87.5, 90.8]",22,9,0.4090909090909091
2499776,"[2.9, 12.5, 13.5, 22.8, 24.4, 25.7, 26.5, 32.3, 38.0, 48.0, 50.9, 52.0, 56.4, 58.6, 70.7, 72.7, 73.5, 79.3, 88.1]",19,5,0.2631578947368421
2499777,"[3.4, 5.4, 15.2, 18.5, 19.4, 22.3, 27.1, 29.2, 32.7, 33.8, 35.2, 42.5, 45.3, 48.4, 50.9, 52.8, 66.6, 67.4, 71.0, 78.5, 80.1, 82.0, 87.6, 90.4, 91.0]",25,9,0.36
2499778,"[4.7, 5.9, 8.6, 13.2, 17.4, 29.9, 30.2, 31.4, 38.6, 46.9, 46.1, 48.3, 52.1, 53.7, 55.5, 56.5, 58.5, 63.6, 68.4, 69.0, 73.8, 75.4, 79.3, 80.3, 81.9, 83.5, 90.7, 92.8, 94.2, 95.1, 95.2, 95.6, 96.5]",33,16,0.48484848484848486
2499779,"[9.0, 12.6, 14.2, 16.1, 17.2, 18.6, 19.5, 19.8, 28.9, 29.5, 48.6, 51.9, 67.0, 73.9, 89.3, 93.6]",16,4,0.25
2499780,"[2.0, 4.3, 10.0, 12.7, 15.0, 19.3, 21.5, 29.9, 38.1, 48.5, 60.3, 63.1, 74.2, 79.6, 84.9]",15,5,0.3333333333333333
2499781,"[1.4, 3.0, 16.6, 22.1, 22.5, 23.1, 32.0, 36.9, 37.8, 40.7, 43.2, 45.6, 46.3, 57.6, 59.8, 63.1, 68.2, 76.3, 79.9, 88.9, 92.3]",21,6,0.2857142857142857
2499782,"[5.6, 9.8, 15.7, 17.1, 25.2, 37.8, 42.1, 45.0, 46.2, 48.2, 57.9, 68.9, 69.8, 70.8, 72.2, 85.1, 86.5, 89.2, 90.2, 94.0]",20,9,0.45
2499783,"[2.1, 6.1, 11.4, 12.2, 18.5, 33.6, 40.1, 64.2, 65.7, 88.0]",10,3,0.3
2499784,"[6.5, 11.1, 13.7, 16.4, 27.1, 47.3, 52.3, 53.7, 59.5, 60.1, 76.6, 83.4, 84.3, 88.1, 90.5]",15,6,0.4
2499785,"[9.7, 12.7, 27.9, 37.3, 39.3, 52.4, 54.6, 56.3, 56.8, 59.9, 69.9, 70.3, 78.9, 79.6, 82.0, 89.5, 91.6, 92.1]",18,8,0.4444444444444444
2499786,"[2.5, 15.8, 16.6, 20.4, 22.2, 29.8, 35.6, 41.6, 45.7, 49.1, 50.0, 50.9, 51.1, 55.3, 61.3, 61.8, 63.0, 69.1, 80.0, 82.5, 94.5]",21,7,0.3333333333333333
2499787,"[2.4, 3.7, 5.4, 25.0, 30.4, 33.6, 35.1, 42.2, 46.8, 46.5, 47.8, 56.6, 59.0, 65.3, 66.9, 70.2, 75.8, 85.7, 86.4, 86.9, 89.6, 92.7, 92.9, 93.8]",24,11,0.4583333333333333
2499788,"[3.2, 4.7, 11.0, 11.8, 23.8, 24.5, 28.7, 33.3, 35.1, 37.3, 40.8, 45.9, 48.4, 49.1, 53.1, 54.2, 54.9, 59.4, 63.2, 67.1, 67.7, 69.5, 76.5, 81.1, 83.0, 86.0, 89.5]",27,9,0.3333333333333333
2499789,"[0.2, 12.9, 22.0, 23.4, 25.4, 39.3, 40.8, 45.5, 49.1, 52.0, 55.6, 58.0, 60.5, 62.2, 63.4, 66.2, 67.0, 68.8, 85.7, 87.3, 87.8, 90.8, 92.4]",23,11,0.4782608695652174
2499790,"[0.6, 1.6, 9.4, 11.2, 14.5, 15.4, 16.6, 23.3, 24.7, 26.4, 30.0, 35.5, 40.2, 41.4, 48.2, 54.1, 59.4, 65.8, 66.9, 68.1, 70.8, 75.6, 79.0, 84.5, 84.6, 85.4, 85.8]",27,10,0.37037037037037035
2499791,"[23.5, 29.9, 33.8, 39.4, 42.5, 46.6, 70.4, 74.3, 80.5, 82.4, 84.4, 86.6, 91.4, 92.0]",14,8,0.5714285714285714
2499792,"[1.5, 4.9, 7.1, 15.9, 28.9, 42.5, 45.3, 45.3, 48.9, 53.8, 56.4, 58.6, 61.1, 64.7, 67.9, 71.4, 82.5, 88.7, 92.9]",19,7,0.3684210526315789
2499793,"[4.2, 12.4, 16.8, 21.3, 26.3, 35.8, 37.6, 41.1, 46.1, 47.6, 49.0, 68.5, 72.2, 73.6, 76.1, 76.6, 81.1, 81.9, 86.0, 87.8]",20,9,0.45
2499794,"[11.2, 19.3, 23.3, 29.1, 31.9, 38.1, 45.2, 48.8, 58.5, 63.9, 80.2, 91.1]",12,3,0.25
2499795,"[9.1, 24.2, 26.8, 30.2, 33.0, 36.4, 37.0, 38.1, 43.4, 45.8, 51.5, 54.5, 59.6, 67.4, 68.8, 73.9, 75.9, 76.4, 78.1, 80.4, 82.8, 93.5]",22,9,0.4090909090909091
2499796,"[1.4, 6.8, 9.5, 12.2, 14.7, 24.1, 25.5, 28.8, 31.4, 34.0, 37.5, 40.0, 43.4, 44.3, 45.6, 46.5, 48.6, 52.3, 54.6, 60.8, 63.2, 65.9, 71.7, 83.3, 84.7, 85.2, 87.1, 89.2]",28,9,0.32142857142857145
2499797,"[7.4, 7.8, 20.5, 26.4, 28.9, 30.9, 37.7, 38.9, 42.3, 44.8, 75.7, 76.4, 82.3, 83.8, 89.3, 92.9]",16,6,0.375
2499798,"[3.2, 13.4, 16.1, 19.6, 21.2, 22.1, 31.7, 44.0, 44.9, 46.4, 61.1, 63.5, 66.0, 70.2, 74.9, 76.1, 77.0, 83.9, 84.9]",19,9,0.47368421052631576
2499799,"[3.7, 6.3, 8.2, 17.0, 18.8, 19.6, 20.1, 22.1, 25.2, 26.7, 29.4, 37.0, 38.5, 45.2, 51.4, 52.4, 53.9, 55.3, 56.7, 61.3, 68.8, 70.5, 71.7, 74.4, 77.3, 77.4, 81.0, 85.7, 92.7, 93.6]",30,11,0.36666666666666664
2499800,"[0.5, 3.6, 5.2, 15.0, 19.8, 21.5, 23.7, 28.2, 30.2, 32.2, 33.3, 37.3, 46.1, 46.6, 46.3, 47.8, 50.6, 55.7, 56.7, 64.9, 66.5, 67.9, 71.9, 75.1, 78.0, 83.6, 85.6, 87.1, 90.7, 93.4]",30,11,0.36666666666666664
2499801,"[5.0, 7.5, 7.6, 8.1, 8.9, 11.0, 13.6, 17.2, 30.6, 38.4, 42.2, 43.7, 45.3, 45.7, 55.0, 58.2, 59.7, 65.4, 65.8, 67.1, 72.7, 78.6, 85.8, 87.7, 89.8]",25,8,0.32
2499802,"[2.2, 14.8, 20.8, 27.4, 28.8, 28.9, 31.7, 34.4, 39.8, 43.4, 48.0, 50.1, 56.2, 66.8, 71.2, 79.0, 82.9, 90.2]",18,5,0.2777777777777778
2499803,"[2.3, 5.2, 9.3, 15.8, 17.0, 20.0, 26.8, 30.8, 34.1, 43.7, 47.5, 54.8, 59.4, 65.6, 66.9, 69.9, 70.9, 72.3, 74.5, 82.4, 84.4, 86.8, 88.1, 90.4, 92.9, 94.1]",26,13,0.5
2499804,"[10.4, 15.7, 17.0, 18.5, 25.3, 27.4, 31.3, 35.8, 51.8, 53.7, 54.8, 60.0, 60.8, 61.9, 66.0, 78.2, 78.6, 89.9]",18,7,0.3888888888888889
2499805,"[3.5, 6.4, 9.9, 12.2, 16.6, 19.1, 21.5, 23.2, 26.2, 27.2, 30.8, 43.4, 47.7, 47.0, 51.4, 56.2, 57.0, 57.9, 59.0, 63.2, 66.6, 70.8, 73.8, 79.2, 80.6, 86.1, 95.4]",27,8,0.2962962962962963
2499806,"[2.5, 6.0, 14.5, 15.9, 26.7, 35.4, 40.4, 47.5, 50.6, 60.5, 61.1, 62.3, 70.6, 77.8, 89.7]",15,6,0.4
2499807,"[15.4, 42.7, 43.8, 46.8, 52.9, 54.5, 68.1, 81.2, 85.1, 91.8]",10,4,0.4
2499808,"[9.2, 13.4, 14.8, 21.2, 33.0, 34.4, 42.0, 51.1, 54.2, 58.3, 61.4, 63.6, 68.4, 74.1, 79.2, 80.8, 81.6]",17,7,0.4117647058823529
2499809,"[2.0, 3.6, 19.6, 21.8, 23.2, 24.8, 28.6, 58.1, 77.3, 79.1, 87.4]",11,3,0.2727272727272727
2499810,"[0.4, 6.8, 10.5, 19.4, 24.2, 31.3, 32.3, 37.4, 39.1, 46.3, 49.3, 54.1, 65.9, 76.3, 78.7, 82.5, 84.4, 92.3]",18,6,0.3333333333333333
2499811,"[2.9, 5.0, 17.6, 21.0, 29.8, 35.9, 38.5, 39.9, 42.4, 45.6, 45.6, 46.1, 50.5, 58.7, 60.9, 73.6, 77.4, 78.5, 89.9]",19,5,0.2631578947368421
2499812,"[0.1, 6.1, 24.4, 25.8, 31.4, 31.7, 36.3, 36.9, 44.7, 46.4, 51.2, 52.7, 61.9, 65.2, 74.5, 87.6, 90.2, 90.9]",18,6,0.3333333333333333
2499813,"[2.9, 15.1, 19.7, 23.2, 24.7, 25.2, 27.1, 32.4, 35.8, 36.8, 42.0, 44.7, 46.5, 46.5, 47.9, 49.0, 52.1, 56.1, 57.1, 58.8, 59.9, 61.4, 63.1, 64.5, 70.3, 71.7, 78.1, 80.4, 83.5, 84.9, 87.0, 87.9, 93.3]",33,12,0.36363636363636365
2499814,"[3.7, 12.1, 16.5, 19.7, 23.4, 27.1, 34.6, 36.9, 42.1, 45.9, 47.8, 54.6, 55.5, 64.8, 75.3, 93.0]",16,3,0.1875
2499815,"[2.1, 3.9, 4.9, 8.8, 14.0, 32.1, 39.8, 40.6, 43.6, 46.1, 45.7, 50.9, 54.5, 60.9, 71.3, 79.6, 88.7, 90.7]",18,5,0.2777777777777778
2499816,"[11.0, 12.8, 16.6, 24.7, 29.3, 31.7, 33.3, 35.0, 39.6, 41.7, 43.1, 43.8, 44.8, 46.2, 47.3, 48.3, 50.2, 51.6, 66.4, 71.8, 82.6, 84.7, 88.9, 92.2]",24,6,0.25
2499817,"[3.7, 7.6, 9.8, 12.8, 14.0, 32.3, 34.8, 42.4, 45.3, 45.9, 46.0, 57.0, 61.2, 64.3, 64.9, 67.7, 68.7, 75.8, 76.6, 85.2, 86.3, 94.4, 94.4]",23,11,0.4782608695652174
2499818,"[2.0, 9.2, 15.5, 17.8, 18.8, 20.0, 21.1, 38.9, 44.0, 50.6, 59.9, 70.1, 71.1, 73.2, 76.3, 79.7, 82.7, 87.4, 93.7]",19,8,0.42105263157894735
2499819,"[0.7, 1.1, 2.7, 4.2, 6.2, 7.1, 8.3, 14.2, 16.1, 19.4, 19.8, 21.0, 23.2, 25.9, 27.1, 27.9, 35.2, 43.9, 45.9, 48.8, 49.7, 50.5, 51.3, 55.7, 56.0, 56.7, 63.4, 70.3, 70.8, 73.4, 78.7, 80.1, 80.7, 84.8, 88.6, 91.0, 93.0]",37,11,0.2972972972972973
2499820,"[6.4, 14.6, 20.6, 29.4, 30.0, 34.2, 36.3, 37.1, 37.8, 38.5, 44.1, 44.8, 46.0, 50.4, 51.2, 68.5, 71.8, 74.0, 80.0, 81.5, 89.0, 96.9, 99.2, 100.8, 101.7]",25,10,0.4
2499821,"[4.2, 5.7, 16.1, 21.0, 24.6, 29.0, 30.2, 32.2, 34.8, 37.1, 42.6, 43.8, 52.1, 56.7, 63.2, 67.9, 69.2, 71.4, 80.1, 83.2, 86.7, 89.2, 93.9]",23,9,0.391304347826087
2499822,"[3.9, 4.7, 5.3, 7.2, 8.1, 30.6, 33.0, 38.1, 43.8, 44.8, 46.0, 47.7, 48.3, 50.9, 54.8, 55.6, 57.9, 58.6, 60.4, 66.1, 72.8, 75.3, 76.0, 79.4, 81.1, 83.9, 85.0, 85.8, 89.2, 90.0, 90.9, 94.4]",32,14,0.4375
2499823,"[1.5, 6.2, 14.1, 19.7, 21.9, 33.6, 37.9, 40.4, 41.8, 43.1, 44.3, 45.2, 49.2, 53.2, 55.1, 56.0, 59.4, 60.3, 68.8, 73.7, 76.1, 77.5, 83.2, 89.5]",24,7,0.2916666666666667
2499824,"[35.4, 43.0, 46.7, 47.8, 48.4, 67.2, 70.3, 88.8]",8,3,0.375
2499825,"[3.2, 6.8, 7.6, 11.1, 18.0, 26.0, 37.7, 45.3, 47.3, 47.3, 50.6, 62.1, 73.8, 77.9, 80.3, 80.9, 82.9, 85.1, 86.8, 92.4]",20,9,0.45
2499826,"[4.4, 4.9, 11.8, 16.3, 17.4, 18.6, 27.8, 30.5, 36.1, 37.4, 40.3, 42.0, 46.2, 47.6, 48.3, 55.7, 59.8, 68.9, 70.2, 71.2, 72.1, 73.6, 80.3, 83.5, 93.7]",25,8,0.32
2499827,"[1.3, 21.1, 29.1, 35.8, 45.2, 46.2, 49.4, 53.6, 55.6, 65.2, 68.5, 71.0, 92.6]",13,4,0.3076923076923077
2499828,"[0.7, 7.1, 10.3, 14.4, 15.4, 22.2, 24.7, 27.9, 29.3, 44.1, 46.7, 50.7, 60.8, 61.2, 64.9, 74.7, 77.4, 81.8, 87.2, 89.0, 89.7]",21,9,0.42857142857142855
2499829,"[3.9, 13.7, 14.2, 15.6, 16.5, 27.5, 29.4, 34.9, 43.4, 43.9, 47.7, 47.8, 49.7, 55.5, 58.8, 61.0, 61.5, 65.2, 68.7, 78.4, 81.2, 84.5, 89.1]",23,8,0.34782608695652173
2499830,"[1.1, 3.1, 4.2, 6.3, 7.4, 10.0, 12.3, 13.8, 17.4, 20.5, 22.8, 26.3, 26.9, 27.6, 31.6, 34.9, 37.6, 40.3, 44.6, 47.0, 49.4, 49.8, 53.7, 63.3, 65.0, 67.6, 70.5, 72.1, 78.4, 88.4, 89.3]",31,8,0.25806451612903225
